id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2100,2800,1,6000,0,0,0,0,
1,depot,2400,7700,1,6000,0,0,0,1,
2,depot,2500,12500,1,6000,0,0,0,2,
3,depot,7000,8000,1,6000,0,0,0,3,
4,depot,8000,2000,1,6000,0,0,0,4,
5,depot,12600,2600,1,6000,0,0,0,5,
6,depot,12100,9500,1,6000,0,0,0,6,
7,depot,10000,12400,1,6000,0,0,0,7,
8,point,4000,2000,1,1200,300,0,1,8,
9,point,4000,2000,1201,2400,300,0,2,8,
10,point,6000,3000,1500,3000,400,0,1,9,
11,point,6000,3000,3001,4500,400,0,2,9,
12,point,8000,4000,2000,4000,250,0,1,10,
13,point,8000,4000,4001,6000,250,0,2,10,
14,point,11000,6000,1500,3000,350,0,1,11,
15,point,11000,6000,3001,4500,350,0,2,11,
16,point,12000,4000,2000,4000,450,0,1,12,
17,point,12000,4000,4001,6000,450,0,2,12,
18,line,9000,5000,1,1200,0,19,1,13,0
19,line,9500,5000,1,1200,0,18,1,14,0
20,line,9000,5000,1201,2400,0,21,2,13,0
21,line,9500,5000,1201,2400,0,20,2,14,0
22,line,10000,3000,2000,4000,0,23,1,15,1
23,line,10000,4000,2000,4000,0,22,1,16,1
24,line,10000,3000,4001,6000,0,25,2,15,1
25,line,10000,4000,4001,6000,0,24,2,16,1
26,line,11000,2000,2000,3500,0,27,1,17,2
27,line,11000,3000,2000,3500,0,26,1,18,2
28,line,11000,2000,3501,5000,0,29,2,17,2
29,line,11000,3000,3501,5000,0,28,2,18,2
30,line,10000,1000,2000,4000,0,31,1,19,3
31,line,9000,1000,2000,4000,0,30,1,20,3
32,line,10000,1000,4001,6000,0,33,2,19,3
33,line,9000,1000,4001,6000,0,32,2,20,3
34,line,9000,7000,2000,3500,0,35,1,21,4
35,line,9000,8000,2000,3500,0,34,1,22,4
36,line,9000,7000,3501,5000,0,37,2,21,4
37,line,9000,8000,3501,5000,0,36,2,22,4
