id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,286087.7849404801,3324266.347348219,1,43200,0,0,0,0,
1,depot,286505.6865384242,3323373.314053048,1,43200,0,0,0,1,
2,depot,287166.93057497573,3322636.72107462,1,43200,0,0,0,2,
3,depot,287891.5219573529,3321862.8516580127,1,43200,0,0,0,3,
4,depot,288680.5352083984,3321268.519934042,1,43200,0,0,0,4,
5,depot,289448.09826840507,3320639.5595811973,1,43200,0,0,0,5,
6,depot,290089.6391581772,3319870.311101918,1,43200,0,0,0,6,
7,depot,290787.4954341487,3319116.320187326,1,43200,0,0,0,7,
8,depot,291612.0157297172,3318328.915878226,1,43200,0,0,0,8,
9,depot,291906.79574539,3317583.34992608,1,43200,0,0,0,9,
10,depot,292129.14875114,3316606.964649995,1,43200,0,0,0,10,
11,depot,291976.39031258866,3315653.6111855903,1,43200,0,0,0,11,
12,depot,291565.5498820238,3314752.7485469067,1,43200,0,0,0,12,
13,depot,291147.21942742134,3313827.6049061497,1,43200,0,0,0,13,
14,depot,290829.06116544903,3312882.167111774,1,43200,0,0,0,14,
15,depot,290584.0160346617,3311907.696342407,1,43200,0,0,0,15,
16,depot,290375.5043479912,3310927.816187816,1,43200,0,0,0,16,
17,depot,290163.79973643005,3309933.930916691,1,43200,0,0,0,17,
18,depot,290031.20543946524,3308941.9061940648,1,43200,0,0,0,18,
19,depot,290376.6533693141,3308007.4061906026,1,43200,0,0,0,19,
20,depot,290946.10809581494,3307207.069849831,1,43200,0,0,0,20,
21,depot,291344.226993505,3306273.7373476643,1,43200,0,0,0,21,
22,depot,291497.5944151228,3305315.097618607,1,43200,0,0,0,22,
23,depot,291113.13737185404,3304432.811436055,1,43200,0,0,0,23,
24,depot,291109.1059210822,3303420.473420835,1,43200,0,0,0,24,
25,depot,291164.1234221107,3302416.177086944,1,43200,0,0,0,25,
26,depot,291221.6332769998,3301426.657874299,1,43200,0,0,0,26,
27,depot,291331.2444391684,3300417.4375124625,1,43200,0,0,0,27,
28,depot,291256.1496923211,3299437.6295757066,1,43200,0,0,0,28,
29,depot,291072.3008922905,3298445.5852212138,1,43200,0,0,0,29,
30,depot,290937.1706758874,3297461.9873093283,1,43200,0,0,0,30,
31,depot,290881.2182506862,3296479.695208289,1,43200,0,0,0,31,
32,depot,290823.4918713757,3295470.1782510364,1,43200,0,0,0,32,
33,depot,290733.122971034,3294473.409238811,1,43200,0,0,0,33,
34,point,291664.97286437766,3314919.314302556,1,2400.6666666666665,600,0,1,34,
35,point,291664.97286437766,3314919.314302556,2400.6666666666665,4800.333333333333,600,0,2,34,
36,point,291664.97286437766,3314919.314302556,4800.333333333333,7200,600,0,3,34,
37,point,291664.97286437766,3314919.314302556,36001,38400.666666666664,600,0,1,34,
38,point,291664.97286437766,3314919.314302556,38400.666666666664,40800.33333333333,600,0,2,34,
39,point,291664.97286437766,3314919.314302556,40800.33333333333,43199.99999999999,600,0,3,34,
40,point,290161.28912484506,3308478.463903867,1,1800.75,600,0,1,35,
41,point,290161.28912484506,3308478.463903867,1800.75,3600.5,600,0,2,35,
42,point,290161.28912484506,3308478.463903867,3600.5,5400.25,600,0,3,35,
43,point,290161.28912484506,3308478.463903867,5400.25,7200,600,0,4,35,
44,point,290161.28912484506,3308478.463903867,36001,37800.75,600,0,1,35,
45,point,290161.28912484506,3308478.463903867,37800.75,39600.5,600,0,2,35,
46,point,290161.28912484506,3308478.463903867,39600.5,41400.25,600,0,3,35,
47,point,290161.28912484506,3308478.463903867,41400.25,43200,600,0,4,35,
48,point,291165.81265134877,3302915.794937958,1,2400.6666666666665,600,0,1,36,
49,point,291165.81265134877,3302915.794937958,2400.6666666666665,4800.333333333333,600,0,2,36,
50,point,291165.81265134877,3302915.794937958,4800.333333333333,7200,600,0,3,36,
51,point,291165.81265134877,3302915.794937958,36001,38400.666666666664,600,0,1,36,
52,point,291165.81265134877,3302915.794937958,38400.666666666664,40800.33333333333,600,0,2,36,
53,point,291165.81265134877,3302915.794937958,40800.33333333333,43199.99999999999,600,0,3,36,
54,point,290876.5443256752,3295882.322396978,1,3600.5,600,0,1,37,
55,point,290876.5443256752,3295882.322396978,3600.5,7200,600,0,2,37,
56,point,290876.5443256752,3295882.322396978,36001,39600.5,600,0,1,37,
57,point,290876.5443256752,3295882.322396978,39600.5,43200,600,0,2,37,
58,line,287484.5194,3322328.821,1,6172.429,0,65,1,38,0
59,line,287484.5194,3322328.821,6172.429,12343.86,0,66,2,38,0
60,line,287484.5194,3322328.821,12343.86,18515.29,0,67,3,38,0
61,line,287484.5194,3322328.821,18515.29,24686.71,0,68,4,38,0
62,line,287484.5194,3322328.821,24686.71,30858.14,0,69,5,38,0
63,line,287484.5194,3322328.821,30858.14,37029.57,0,70,6,38,0
64,line,287484.5194,3322328.821,37029.57,43201,0,71,7,38,0
65,line,289507.0225,3320621.701,1,6172.429,0,58,1,39,0
66,line,289507.0225,3320621.701,6172.429,12343.86,0,59,2,39,0
67,line,289507.0225,3320621.701,12343.86,18515.29,0,60,3,39,0
68,line,289507.0225,3320621.701,18515.29,24686.71,0,61,4,39,0
69,line,289507.0225,3320621.701,24686.71,30858.14,0,62,5,39,0
70,line,289507.0225,3320621.701,30858.14,37029.57,0,63,6,39,0
71,line,289507.0225,3320621.701,37029.57,43201,0,64,7,39,0
72,line,290439.5563,3319507.791,1,6172.429,0,79,1,40,1
73,line,290439.5563,3319507.791,6172.429,12343.86,0,80,2,40,1
74,line,290439.5563,3319507.791,12343.86,18515.29,0,81,3,40,1
75,line,290439.5563,3319507.791,18515.29,24686.71,0,82,4,40,1
76,line,290439.5563,3319507.791,24686.71,30858.14,0,83,5,40,1
77,line,290439.5563,3319507.791,30858.14,37029.57,0,84,6,40,1
78,line,290439.5563,3319507.791,37029.57,43201,0,85,7,40,1
79,line,291412.9448,3318566.466,1,6172.429,0,72,1,41,1
80,line,291412.9448,3318566.466,6172.429,12343.86,0,73,2,41,1
81,line,291412.9448,3318566.466,12343.86,18515.29,0,74,3,41,1
82,line,291412.9448,3318566.466,18515.29,24686.71,0,75,4,41,1
83,line,291412.9448,3318566.466,24686.71,30858.14,0,76,5,41,1
84,line,291412.9448,3318566.466,30858.14,37029.57,0,77,6,41,1
85,line,291412.9448,3318566.466,37029.57,43201,0,78,7,41,1
86,line,291875.7131,3317951.772,1,6172.429,0,93,1,42,2
87,line,291875.7131,3317951.772,6172.429,12343.86,0,94,2,42,2
88,line,291875.7131,3317951.772,12343.86,18515.29,0,95,3,42,2
89,line,291875.7131,3317951.772,18515.29,24686.71,0,96,4,42,2
90,line,291875.7131,3317951.772,24686.71,30858.14,0,97,5,42,2
91,line,291875.7131,3317951.772,30858.14,37029.57,0,98,6,42,2
92,line,291875.7131,3317951.772,37029.57,43201,0,99,7,42,2
93,line,292122.2655,3316733.02,1,6172.429,0,86,1,43,2
94,line,292122.2655,3316733.02,6172.429,12343.86,0,87,2,43,2
95,line,292122.2655,3316733.02,12343.86,18515.29,0,88,3,43,2
96,line,292122.2655,3316733.02,18515.29,24686.71,0,89,4,43,2
97,line,292122.2655,3316733.02,24686.71,30858.14,0,90,5,43,2
98,line,292122.2655,3316733.02,30858.14,37029.57,0,91,6,43,2
99,line,292122.2655,3316733.02,37029.57,43201,0,92,7,43,2
100,line,291740.9318,3315105.615,1,6172.429,0,107,1,44,3
101,line,291740.9318,3315105.615,6172.429,12343.86,0,108,2,44,3
102,line,291740.9318,3315105.615,12343.86,18515.29,0,109,3,44,3
103,line,291740.9318,3315105.615,18515.29,24686.71,0,110,4,44,3
104,line,291740.9318,3315105.615,24686.71,30858.14,0,111,5,44,3
105,line,291740.9318,3315105.615,30858.14,37029.57,0,112,6,44,3
106,line,291740.9318,3315105.615,37029.57,43201,0,113,7,44,3
107,line,290613.3844,3311901.299,1,6172.429,0,100,1,45,3
108,line,290613.3844,3311901.299,6172.429,12343.86,0,101,2,45,3
109,line,290613.3844,3311901.299,12343.86,18515.29,0,102,3,45,3
110,line,290613.3844,3311901.299,18515.29,24686.71,0,103,4,45,3
111,line,290613.3844,3311901.299,24686.71,30858.14,0,104,5,45,3
112,line,290613.3844,3311901.299,30858.14,37029.57,0,105,6,45,3
113,line,290613.3844,3311901.299,37029.57,43201,0,106,7,45,3
114,line,290069.6516,3308859.539,1,6172.429,0,121,1,46,4
115,line,290069.6516,3308859.539,6172.429,12343.86,0,122,2,46,4
116,line,290069.6516,3308859.539,12343.86,18515.29,0,123,3,46,4
117,line,290069.6516,3308859.539,18515.29,24686.71,0,124,4,46,4
118,line,290069.6516,3308859.539,24686.71,30858.14,0,125,5,46,4
119,line,290069.6516,3308859.539,30858.14,37029.57,0,126,6,46,4
120,line,290069.6516,3308859.539,37029.57,43201,0,127,7,46,4
121,line,291208.5828,3306712.876,1,6172.429,0,114,1,47,4
122,line,291208.5828,3306712.876,6172.429,12343.86,0,115,2,47,4
123,line,291208.5828,3306712.876,12343.86,18515.29,0,116,3,47,4
124,line,291208.5828,3306712.876,18515.29,24686.71,0,117,4,47,4
125,line,291208.5828,3306712.876,24686.71,30858.14,0,118,5,47,4
126,line,291208.5828,3306712.876,30858.14,37029.57,0,119,6,47,4
127,line,291208.5828,3306712.876,37029.57,43201,0,120,7,47,4
128,line,291142.4516,3304426.173,1,6172.429,0,135,1,48,5
129,line,291142.4516,3304426.173,6172.429,12343.86,0,136,2,48,5
130,line,291142.4516,3304426.173,12343.86,18515.29,0,137,3,48,5
131,line,291142.4516,3304426.173,18515.29,24686.71,0,138,4,48,5
132,line,291142.4516,3304426.173,24686.71,30858.14,0,139,5,48,5
133,line,291142.4516,3304426.173,30858.14,37029.57,0,140,6,48,5
134,line,291142.4516,3304426.173,37029.57,43201,0,141,7,48,5
135,line,291266.9522,3301279.593,1,6172.429,0,128,1,49,5
136,line,291266.9522,3301279.593,6172.429,12343.86,0,129,2,49,5
137,line,291266.9522,3301279.593,12343.86,18515.29,0,130,3,49,5
138,line,291266.9522,3301279.593,18515.29,24686.71,0,131,4,49,5
139,line,291266.9522,3301279.593,24686.71,30858.14,0,132,5,49,5
140,line,291266.9522,3301279.593,30858.14,37029.57,0,133,6,49,5
141,line,291266.9522,3301279.593,37029.57,43201,0,134,7,49,5
142,line,290892.4977,3296165.553,1,6172.429,0,149,1,50,6
143,line,290892.4977,3296165.553,6172.429,12343.86,0,150,2,50,6
144,line,290892.4977,3296165.553,12343.86,18515.29,0,151,3,50,6
145,line,290892.4977,3296165.553,18515.29,24686.71,0,152,4,50,6
146,line,290892.4977,3296165.553,24686.71,30858.14,0,153,5,50,6
147,line,290892.4977,3296165.553,30858.14,37029.57,0,154,6,50,6
148,line,290892.4977,3296165.553,37029.57,43201,0,155,7,50,6
149,line,290672.9577,3294012.298,1,6172.429,0,142,1,51,6
150,line,290672.9577,3294012.298,6172.429,12343.86,0,143,2,51,6
151,line,290672.9577,3294012.298,12343.86,18515.29,0,144,3,51,6
152,line,290672.9577,3294012.298,18515.29,24686.71,0,145,4,51,6
153,line,290672.9577,3294012.298,24686.71,30858.14,0,146,5,51,6
154,line,290672.9577,3294012.298,30858.14,37029.57,0,147,6,51,6
155,line,290672.9577,3294012.298,37029.57,43201,0,148,7,51,6
