id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,5775,3170,1,16000,0,0,0,0,
1,depot,3505,4908,1,16000,0,0,0,1,
2,depot,5771,801,1,16000,0,0,0,2,
3,depot,6404,7556,1,16000,0,0,0,3,
4,point,9201,7262,3500,7000,600,0,1,4,
5,point,9201,7262,7001,10500,600,0,2,4,
6,point,4907,9429,6000,10000,600,0,1,5,
7,point,4907,9429,10000,14000,600,0,2,5,
8,line,2200,3676,8000,12000,0,9,1,6,0
9,line,2044,4834,8000,12000,0,8,1,7,0
10,line,2200,3676,12001,16000,0,11,2,6,0
11,line,2044,4834,12001,16000,0,10,2,7,0
12,line,7392,7842,8000,12000,0,13,1,8,1
13,line,7028,8962,8000,12000,0,12,1,9,1
14,line,7392,7842,12001,16000,0,15,2,8,1
15,line,7028,8962,12001,16000,0,14,2,9,1
