id,type,x,y,tw_start,tw_end,service_time,pair_id,round,group_id,line_id
0,depot,2000,8000,1,20000,0,0,0,0,
1,depot,2000,3000,1,20000,0,0,0,1,
2,depot,3000,6000,1,20000,0,0,0,2,
3,depot,7000,5000,1,20000,0,0,0,3,
4,depot,8000,3000,1,20000,0,0,0,4,
5,depot,8000,8000,1,20000,0,0,0,5,
6,point,3000,4000,1,5000,500,0,1,6,
7,point,3000,4000,5001,10000,500,0,2,6,
8,point,3000,4000,10001,15000,500,0,3,6,
9,point,3000,4000,15001,20000,500,0,4,6,
10,point,5000,1000,1,5000,500,0,1,7,
11,point,5000,1000,5001,10000,500,0,2,7,
12,point,5000,1000,10001,15000,500,0,3,7,
13,point,5000,1000,15001,20000,500,0,4,7,
14,point,5000,7000,1,5000,500,0,1,8,
15,point,5000,7000,5001,10000,500,0,2,8,
16,point,5000,7000,10001,15000,500,0,3,8,
17,point,5000,7000,15001,20000,500,0,4,8,
18,point,7000,7000,1,5000,500,0,1,9,
19,point,7000,7000,5001,10000,500,0,2,9,
20,point,7000,7000,10001,15000,500,0,3,9,
21,point,7000,7000,15001,20000,500,0,4,9,
22,line,1000,1000,1,5000,0,23,1,10,0
23,line,2500,1000,1,5000,0,22,1,11,0
24,line,1000,1000,5001,10000,0,25,2,10,0
25,line,2500,1000,5001,10000,0,24,2,11,0
26,line,1000,1000,10001,15000,0,27,3,10,0
27,line,2500,1000,10001,15000,0,26,3,11,0
28,line,1000,1000,15001,20000,0,29,4,10,0
29,line,2500,1000,15001,20000,0,28,4,11,0
30,line,4000,5000,1,5000,0,31,1,12,1
31,line,5500,5000,1,5000,0,30,1,13,1
32,line,4000,5000,5001,10000,0,33,2,12,1
33,line,5500,5000,5001,10000,0,32,2,13,1
34,line,4000,5000,10001,15000,0,35,3,12,1
35,line,5500,5000,10001,15000,0,34,3,13,1
36,line,4000,5000,15001,20000,0,37,4,12,1
37,line,5500,5000,15001,20000,0,36,4,13,1
38,line,5000,3000,1,5000,0,39,1,14,2
39,line,6500,3000,1,5000,0,38,1,15,2
40,line,5000,3000,5001,10000,0,41,2,14,2
41,line,6500,3000,5001,10000,0,40,2,15,2
42,line,5000,3000,10001,15000,0,43,3,14,2
43,line,6500,3000,10001,15000,0,42,3,15,2
44,line,5000,3000,15001,20000,0,45,4,14,2
45,line,6500,3000,15001,20000,0,44,4,15,2
46,line,6000,8000,1,5000,0,47,1,16,3
47,line,6000,9500,1,5000,0,46,1,17,3
48,line,6000,8000,5001,10000,0,49,2,16,3
49,line,6000,9500,5001,10000,0,48,2,17,3
50,line,6000,8000,10001,15000,0,51,3,16,3
51,line,6000,9500,10001,15000,0,50,3,17,3
52,line,6000,8000,15001,20000,0,53,4,16,3
53,line,6000,9500,15001,20000,0,52,4,17,3
